Year,Month,Zone,Manpower,Target,Sales
2026,January,Agrabad Zone,1,57200,"144,212.00"
2026,January,Bagerhat Zone,1,56160,"2,753.00"
2026,January,Barishal Zone,1,133120,247.50
2026,January,Chakbazar Zone,1,72800,"1,278.00"
2026,January,Cumilla North Zone,2,21840,"44,738.00"
2026,January,Dhanmondi Zone,1,116480,"2,496.00"
2026,January,Feni Zone,3,49920,"47,225.00"
2026,January,Gazipur Zone,1,83200,"4,287.00"
2026,January,Jatrabari Zone,1,99840,"2,427.00"
2026,January,Keraniganj Zone,2,56160,702.50
2026,January,Madaripur Zone,3,112320,"236,500.00"
2026,January,Mawna Zone,2,49920,"11,385.00"
2026,January,Mirpur Zone,1,93600,930.00
2026,January,Patuakhali Zone,1,33280,"36,474.00"
2026,January,Sylhet Zone,1,158080,297.00
2026,January,Uttara Zone,3,87360,"399,660.50"
2026,February,Agrabad Zone,2,57200,"1,601,681.00"
2026,February,Bagerhat Zone,7,56160,"3,552,638.00"
2026,February,Barishal Zone,8,133120,"4,523,928.50"
2026,February,Bhola Zone,5,41600,"1,939,800.00"
2026,February,Bogura Zone,6,74880,"1,547,154.50"
2026,February,Brahmanbaria Zone,8,74880,"6,425,588.00"
2026,February,Chakbazar Zone,4,72800,"3,392,016.50"
2026,February,Chandpur Zone,8,121680,"4,876,743.50"
2026,February,Chokoria Zone,6,24960,"2,487,817.00"
2026,February,Cox's Bazar Zone,2,18720,"562,699.00"
2026,February,Cumilla North Zone,3,21840,"2,522,882.00"
2026,February,Cumilla South Zone,6,72800,"2,686,091.50"
2026,February,Dhanmondi Zone,6,116480,"7,327,663.00"
2026,February,Faridpur Zone,9,87312,"3,858,495.50"
2026,February,Feni Zone,3,49920,"759,981.00"
2026,February,Gazipur Zone,3,83200,"5,038,097.00"
2026,February,Gulshan Zone,5,52000,"2,729,584.50"
2026,February,Hobiganj Zone,4,56160,"2,376,287.40"
2026,February,Jamalpur Zone,7,37440,"1,214,513.00"
2026,February,Jatrabari Zone,5,99840,"5,768,958.50"
2026,February,Jessore Zone,6,72800,"3,142,323.00"
2026,February,Jhalokathi Zone,7,94640,"2,062,799.00"
2026,February,Jhenaidah Zone,13,187200,"6,075,191.44"
2026,February,Keraniganj Zone,3,56160,"2,834,878.50"
2026,February,Khagrachori Zone,8,94640,"1,392,261.00"
2026,February,Khulna Zone,6,124800,"3,405,964.00"
2026,February,Kishoreganj Zone,5,49920,"1,636,679.50"
2026,February,Kustia Zone,10,162240,"4,952,477.00"
2026,February,Lakshmipur Zone,4,36400,"3,311,243.50"
2026,February,Madaripur Zone,9,112320,"9,410,867.00"
2026,February,Malibag Zone,3,56160,"2,970,597.00"
2026,February,Manikganj Zone,3,80080,"436,943.50"
2026,February,Mawna Zone,4,49920,"2,927,172.00"
2026,February,Mirpur Zone,15,93600,"4,287,365.50"
2026,February,Moulvibazar Zone,1,18720,"38,378.50"
2026,February,Munshiganj Zone,5,72800,"6,492,952.50"
2026,February,Mymensingh Zone,8,72800,"1,670,665.50"
2026,February,Naogaon Zone,3,45760,"596,596.50"
2026,February,Narayanganj Zone,4,83200,"7,359,590.00"
2026,February,Narsingdi Zone,4,65520,"4,282,823.50"
2026,February,Netrokona Zone,1,18720,"219,311.00"
2026,February,Noakhali Zone,5,81120,"3,950,865.00"
2026,February,Pabna Zone,6,135200,"2,366,570.00"
2026,February,Patuakhali Zone,3,33280,"956,963.50"
2026,February,Rajshahi Zone,5,123760,"1,536,695.50"
2026,February,Rangpur Zone,5,43680,"1,094,882.00"
2026,February,Satkania Zone,5,33280,"2,501,936.00"
2026,February,Satkhira Zone,4,41600,"2,297,762.50"
2026,February,Savar Zone,4,74880,"3,481,338.00"
2026,February,Shitakunda Zone,4,33280,"1,866,972.50"
2026,February,Sirajganj Zone,7,74880,"1,595,250.00"
2026,February,Sonargaon Zone,3,91520,"2,518,950.00"
2026,February,Sunamganj Zone,2,15600,"493,802.00"
2026,February,Sylhet Zone,5,158080,"2,577,658.00"
2026,February,Tangail Zone,3,54080,"1,023,444.00"
2026,February,Tongi Zone,3,99840,"5,084,630.50"
2026,February,Uttara Zone,3,87360,"1,461,669.00"
2026,March,Agrabad Zone,4,71280,"1,622,087.00"
2026,March,Bagerhat Zone,7,58320,"4,145,960.50"
2026,March,Barishal Zone,8,155520,"4,594,347.50"
2026,March,Bhola Zone,5,43200,"2,362,360.50"
2026,March,Bogura Zone,7,64800,"1,260,558.50"
2026,March,Brahmanbaria Zone,8,87480,"8,552,413.00"
2026,March,Chakbazar Zone,4,75600,"2,235,605.00"
2026,March,Chandpur Zone,6,98280,"8,942,752.50"
2026,March,Chokoria Zone,6,25920,"3,536,901.00"
2026,March,Cox's Bazar Zone,2,19440,"226,646.50"
2026,March,Cumilla North Zone,3,37800,"3,258,714.00"
2026,March,Cumilla South Zone,5,86400,"3,989,392.50"
2026,March,Dhanmondi Zone,6,105840,"6,370,778.00"
2026,March,Dinajpur Zone,4,32400,"432,549.00"
2026,March,Faridpur Zone,8,103680,"5,465,146.00"
2026,March,Feni Zone,4,34560,"1,490,133.50"
2026,March,Gazipur Zone,4,86400,"4,370,813.00"
