Year,Month,Zone,Item,Manpower,Target,Sales
2026,January,Agrabad Zone,Atta 1 kg,1,57200,"56,232.00"
2026,January,Agrabad Zone,Atta 5 kg,1,57200,"5,412.00"
2026,January,Agrabad Zone,Brown Atta 1 kg,1,57200,"8,550.00"
2026,January,Agrabad Zone,Chinigura Premium 1 kg (T),1,57200,"11,310.00"
2026,January,Agrabad Zone,Essential Mustard Oil 16 Kg Tin,1,57200,"16,200.00"
2026,January,Agrabad Zone,Iodized Salt 1 kg,1,57200,"5,996.50"
2026,January,Agrabad Zone,Iodized Salt 500gm,1,57200,"9,187.50"
2026,January,Agrabad Zone,Katari Najir 10 kg (T),1,57200,"3,680.00"
2026,January,Agrabad Zone,Katari Najir 5 kg (T),1,57200,"3,720.00"
2026,January,Agrabad Zone,Lachcha Semai 200gm (C),1,57200,"5,472.00"
2026,January,Agrabad Zone,Maida 1 kg,1,57200,"7,140.00"
2026,January,Agrabad Zone,Maida 25 kg (C),1,57200,"4,840.00"
2026,January,Agrabad Zone,Miniket 5 kg (T),1,57200,450.00
2026,January,Agrabad Zone,Mustard oil 1000 ML,1,57200,584.00
2026,January,Agrabad Zone,Mustard oil 200 ML,1,57200,375.00
2026,January,Agrabad Zone,Mustard oil 500 ML,1,57200,453.00
2026,January,Agrabad Zone,Mustard oil 80 ML,1,57200,318.00
2026,January,Agrabad Zone,Suji 500 g,1,57200,"4,292.00"
2026,January,Bagerhat Zone,Atta 1 kg,1,56160,"1,188.00"
2026,January,Bagerhat Zone,Atta 5 kg,1,56160,"1,230.00"
2026,January,Bagerhat Zone,Iodized Salt 1 kg,1,56160,335.00
2026,January,Barishal Zone,Atta 1 kg,1,133120,247.50
2026,January,Chakbazar Zone,Atta 1 kg,1,72800,594.00
2026,January,Chakbazar Zone,Brown Atta 1 kg,1,72800,684.00
2026,January,Cumilla North Zone,Atta 1 kg,1,21840,"19,008.00"
2026,January,Cumilla North Zone,Atta 2 kg,2,21840,"4,214.00"
2026,January,Cumilla North Zone,Atta 5 kg,1,21840,"4,920.00"
2026,January,Cumilla North Zone,Biryani Masala 40gm (C),1,21840,300.00
2026,January,Cumilla North Zone,Brown Atta 1 kg,2,21840,"4,104.00"
2026,January,Cumilla North Zone,Chinigura Premium 1 kg (T),1,21840,"3,190.00"
2026,January,Cumilla North Zone,Essential Mustard Oil 16 Kg Tin,1,21840,"3,240.00"
2026,January,Cumilla North Zone,Essential Puffed Rice 400 Gm,1,21840,864.00
2026,January,Cumilla North Zone,Katari Najir 10 kg (T),1,21840,"3,680.00"
2026,January,Cumilla North Zone,Roast Masala 35gm (C),1,21840,330.00
2026,January,Cumilla North Zone,Suji 500 g,1,21840,888.00
2026,January,Dhanmondi Zone,Atta 2 kg,1,116480,"1,176.00"
2026,January,Dhanmondi Zone,Brown Atta 2 kg,1,116480,"1,320.00"
2026,January,Feni Zone,Atta 1 kg,3,49920,"9,751.50"
2026,January,Feni Zone,Atta 2 kg,3,49920,"3,528.00"
2026,January,Feni Zone,Atta 5 kg,2,49920,"12,300.00"
2026,January,Feni Zone,Biryani Masala 40gm (C),1,49920,600.00
2026,January,Feni Zone,Brown Atta 1 kg,3,49920,"3,192.00"
2026,January,Feni Zone,Chicken Masala 100gm (C),2,49920,"1,141.00"
2026,January,Feni Zone,Essential Miniket 10 kg(T),1,49920,890.00
2026,January,Feni Zone,Essential Puffed Rice 400 Gm,3,49920,"4,050.00"
2026,January,Feni Zone,Iodized Salt 1 kg,3,49920,"1,072.00"
2026,January,Feni Zone,Iodized Salt 500gm,1,49920,875.00
2026,January,Feni Zone,Lachcha Semai 200gm (C),3,49920,"1,672.00"
2026,January,Feni Zone,Maida 1 kg,2,49920,"2,320.50"
2026,January,Feni Zone,Mustard oil 200 ML,1,49920,125.00
2026,January,Feni Zone,Mustard oil 500 ML,2,49920,453.00
2026,January,Feni Zone,Mustard oil 80 ML,3,49920,795.00
2026,January,Feni Zone,Premium Basmati 1 kg (T),1,49920,"1,050.00"
2026,January,Feni Zone,Red Lentil 1 kg,1,49920,228.00
2026,January,Feni Zone,Suji 500 g,2,49920,"3,182.00"
2026,January,Gazipur Zone,Atta 1 kg,1,83200,"2,376.00"
2026,January,Gazipur Zone,Brown Atta 1 kg,1,83200,342.00
2026,January,Gazipur Zone,Essential Puffed Rice 400 Gm,1,83200,162.00
2026,January,Gazipur Zone,Maida 1 kg,1,83200,357.00
2026,January,Gazipur Zone,Premium Basmati 1 kg (T),1,83200,"1,050.00"
2026,January,Jatrabari Zone,Atta 1 kg,1,99840,297.00
2026,January,Jatrabari Zone,Atta 2 kg,1,99840,980.00
2026,January,Jatrabari Zone,Essential Miniket 10 kg(T),1,99840,880.00
2026,January,Jatrabari Zone,Essential Puffed Rice 400 Gm,1,99840,270.00
2026,January,Keraniganj Zone,Atta 1 kg,1,56160,247.50
2026,January,Keraniganj Zone,Katari Najir 5 kg (T),1,56160,455.00
2026,January,Madaripur Zone,Atta 1 kg,3,112320,"87,615.00"
2026,January,Madaripur Zone,Atta 2 kg,2,112320,"32,928.00"
2026,January,Madaripur Zone,Atta 5 kg,3,112320,"50,184.00"
2026,January,Madaripur Zone,Biryani Masala 40gm (C),1,112320,300.00
2026,January,Madaripur Zone,Brown Atta 1 kg,2,112320,"6,954.00"
2026,January,Madaripur Zone,Chinigura Premium 1 kg (T),2,112320,"12,170.00"
2026,January,Madaripur Zone,Deshi Basmoti 5 Kg (T),1,112320,"5,555.00"
2026,January,Madaripur Zone,Essential Mustard Oil 16 Kg Tin,1,112320,"9,720.00"
2026,January,Madaripur Zone,Essential Mustard Oil 8 Kg Tin,1,112320,"1,690.00"
2026,January,Madaripur Zone,Essential Puffed Rice 400 Gm,1,112320,648.00
2026,January,Madaripur Zone,Iodized Salt 1 kg,2,112320,"6,700.00"
2026,January,Madaripur Zone,Iodized Salt 500gm,1,112320,875.00
2026,January,Madaripur Zone,Maida 1 kg,1,112320,"2,499.00"
2026,January,Madaripur Zone,Miniket 5 kg (T),1,112320,"8,100.00"
2026,January,Madaripur Zone,Mustard oil 500 ML,1,112320,906.00
2026,January,Madaripur Zone,Mustard oil 80 ML,1,112320,"1,696.00"
2026,January,Madaripur Zone,Premium Basmati 1 kg (T),1,112320,350.00
2026,January,Madaripur Zone,Suji 500 g,3,112320,"6,290.00"
2026,January,Madaripur Zone,Tea LEAF 500 gm,1,112320,"1,320.00"
2026,January,Mawna Zone,Atta 1 kg,2,49920,"7,128.00"
2026,January,Mawna Zone,Atta 2 kg,1,49920,"1,764.00"
2026,January,Mawna Zone,Atta 5 kg,1,49920,"1,230.00"
2026,January,Mawna Zone,Brown Atta 1 kg,1,49920,684.00
2026,January,Mawna Zone,Maida 1 kg,1,49920,357.00
2026,January,Mawna Zone,Suji 500 g,1,49920,222.00
2026,January,Mirpur Zone,Katari Najir 5 kg (T),1,93600,930.00
